PRO_COM,region,province,COMUNE,POP_2011,return,intervention,Rj,n_return,north,beds,intervention_old,beds_old,return_old,position,n_return_old
76039,Basilicata,Potenza,Lagonegro,5725,0,95,0.103349031,0,0,18,63,12,0,0,0
76046,Basilicata,Potenza,Marsicovetere,5341,0,59,0.157345544,0,0,24,39,16,0,0,0
76048,Basilicata,Potenza,Melfi,17425,0,72,0.084394746,0,0,20,48,13,0,0,0
76063,Basilicata,Potenza,Potenza,66777,0,284,0.077998047,0,0,60,189,40,0,0,0
77014,Basilicata,Matera,Matera,59796,0.46,176,0.131265282,125,0,41,117,27,0.46,0,125
77021,Basilicata,Matera,Policoro,15976,0.86,117,0.156612931,71,0,0,78,0,0.86,0,71
